epoch,loss
0,22.0
1,21.3
2,21.0
3,20.2
4,20.0
5,19.2
6,19.0
7,18.4
8,18.2
9,17.5
10,17.2
11,16.5
12,16.6
13,17.0
14,15.5
15,14.8
16,14.3
17,13.8
18,13.3
19,12.6
20,12.4
21,12.276778435471291
22,12.160844017428051
23,12.059781047689016
24,11.959729725570256
25,11.968253252342098
26,11.820814513149134
27,11.792970185873616
28,11.63381545780667
29,11.576927757021108
30,11.472569530456633
31,11.246455144977016
32,11.154756034635245
33,11.041366912386334
34,10.980583509014062
35,10.811867071055403
36,10.692163467792334
37,10.542582785124202
38,10.53262777791203
39,10.438870553100164
40,10.355267408202103
41,10.294303584150715
42,10.112426999996682
43,10.009898756027196
44,9.93016746512539
45,9.795422135455096
46,9.68191404818633
47,9.607061696488515
48,9.643323992847895
49,9.56390934831832
50,9.417721833233717
51,9.234298182919355
52,9.202817000765112
53,9.1672684104303
54,9.09668453318318
55,9.036275677163594
56,8.916601834733475
57,8.813163340389991
58,8.766041915076016
59,8.627711701169835
60,8.573745462439097
61,8.478130095637152
62,8.448106753902524
63,8.296320982990817
64,8.211031590597331
65,8.047597221439634
66,7.9019539114941955
67,7.8097572913942015
68,7.651540442335432
69,7.566941322269321
70,7.5288323887090005
71,7.371255348743789
72,7.241684728659959
73,7.179972041239764
74,7.035735157087896
75,6.949906293335808
76,6.777842969517548
77,6.68237919386609
78,6.548006647874325
79,6.519318755415157
80,6.435064965924319
81,6.287660906477061
82,6.195369702903693
83,6.005675914807795
84,5.92077041259892
85,5.833777840269008
86,5.897647279956748
87,5.732895297108689
88,5.606269146113039
89,5.466209603874375
90,5.333496409809112
91,5.340136694022889
92,5.321005231430663
93,5.262296236356705
94,5.242649347712585
95,5.1400524548994575
96,5.0216304440478465
97,4.95597843950569
98,4.882126776018064
99,4.826284813372812
100,4.7616610715023215
